,type,title,listed_in,description
1124,Movie,The Girl from the Song,"Dramas, Independent Movies, International Movies","When an aspiring musician falls for a carefree college student, he follows her to the Nevada desert to declare his love to her and find himself."
1125,TV Show,The Many Faces of Ito,"International TV Shows, Romantic TV Shows, TV Dramas",A jaded rom-com screenwriter in her 30s mines four love-sick women for their stories under the guise of providing them with romantic advice.
1126,TV Show,Trailer Park Boys: Out of the Park: USA,"International TV Shows, TV Comedies","The boys are back on the loose as Bubbles, Julian and Ricky head south of the Canadian border for some outrageous American adventures."
1127,Movie,Charlotte's Web,"Children & Family Movies, Classic Movies","Follow the adventures of Wilbur the pig, Templeton the rat and Charlotte the spider in this animated musical version of E.B. White's timeless story."
1128,Movie,End of Watch,Action & Adventure,"Officers Taylor and Zavala patrol the streets of South Central Los Angeles, an area of the city ruled by gangs and riddled with drug violence."
1129,Movie,Hamburger Hill,"Action & Adventure, Dramas",The Vietnam War's horrors come brutally to life through the eyes of American soldiers trying to take a heavily fortified hill under Vietcong control.
1130,TV Show,Once Upon A Time In Lingjian Mountain,"International TV Shows, TV Comedies, TV Sci-Fi & Fantasy","As the nine continents face a crisis, a young disciple joins the Spirit Blade sect and comes under the tutelage of a temperamental sage."
1131,Movie,The Time Machine,"Action & Adventure, Sci-Fi & Fantasy","Based on the H.G. Wells classic, this adventure follows a scientist and inventor who's determined to prove to doubters that time travel is possible."
1132,TV Show,Fugitiva,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",A domestic abuse survivor orchestrates an elaborate deception to protect her family from her powerfully wealthy husband and his vindictive enemies.
1133,TV Show,Bright: The Music Videos,TV Shows,"Explore the hit songs from the Will Smith film ""Bright"" in these music videos from Machine Gun Kelly, Bastille, Logic, Migos and friends."
1134,Movie,Deep,"Children & Family Movies, Comedies","After accidentally trapping his family in their underwater home, a young octopus and his ocean-dwelling buddies search for help far across the sea."
1135,Movie,Brother,"Dramas, Independent Movies, International Movies","Thrust from a violent home into a brutal custody center, a teenager learns to navigate a tough new reality and forge unlikely alliances to survive."
1136,TV Show,Dino Girl Gauko,"Anime Series, Kids' TV","When she gets angry, middle schooler Naoko turns into fierce dinosaur Gauko! Thanks to friends, aliens and more, her life is full of wacky incidents."
1137,TV Show,Dolly Parton's Heartstrings,TV Dramas,"Eight stories celebrating family, faith, love and forgiveness come to life in this series inspired by Dolly Parton's iconic country music catalog."
1138,Movie,Girls und Panzer der Film,"Action & Adventure, Anime Features, International Movies",The girls of Ōarai High must face off against a formidable university team in a fierce tank battle to once again avoid closure of their school.
1139,Movie,Mike Birbiglia: What I Should Have Said Was Nothing: Tales from My Secret Public Journal,Stand-Up Comedy,Mike Birbiglia performs in this live concert special that features a riotous selection of the unique insights and observations culled from his diary.
1140,TV Show,Narcoworld: Dope Stories,"Crime TV Shows, Docuseries","Ride along as police officers and drug smugglers go toe-to-toe, trying to outwit each other in locales around the world."
1141,TV Show,Nobody's Looking,"International TV Shows, TV Comedies, TV Dramas","A new guardian ""angelus"" uncovers a secret behind the Angelus System's bureaucracy that leads him to break its official rules about protecting humans."
1142,Movie,Shelby American,"Documentaries, Sports Movies","Featuring interviews and vintage footage, this documentary traces American icon Carroll Shelby's life of reinvention from farmer to racer to entrepreneur."
1143,TV Show,Singapore Social,"International TV Shows, Reality TV","Peer into the lives of young Singaporeans as they defy expectations and traverse the tricky terrain of career, romance and family."
1144,Movie,The Christmas Chronicles,"Children & Family Movies, Comedies","After accidentally crashing Santa's sleigh, a brother and sister pull an all-nighter to save Christmas with a savvy, straight-talking St. Nick."
1145,TV Show,Argon,"International TV Shows, Korean TV Shows, TV Dramas","In a world filled with provocative (and often misleading) news, a passionate team of investigative TV reporters strives to bring truths to light."
1146,Movie,Barbra: The Music ... The Mem'ries ... The Magic!,Music & Musicals,"Iconic songstress Barbra Streisand culminates her 13-city tour in Miami with dazzling ballads, Broadway standards and stories from behind the scenes."
1147,TV Show,Godless,TV Dramas,"A ruthless outlaw terrorizes the West in search of a former member of his gang, who’s found a new life in a quiet town populated only by women."
1148,Movie,Ludo,"Horror Movies, Independent Movies, International Movies","Needing a secluded place for a late-night tryst, two couples stow away in a mall after hours, but are quickly ensnared in a gruesome and deadly game."
1149,Movie,Mercy,"Dramas, Thrillers",Two brothers clash with their half-siblings when a visit home to see their dying mother surfaces old secrets and becomes a fight for survival.
1150,Movie,The Land of Cards,"Dramas, Independent Movies, International Movies",A royal prince arrives on an island of fascist rule and inspires a rebellion among its women in this hallucinogenic adaptation of a classic play.
1151,Movie,K-19: The Widowmaker,"Action & Adventure, Dramas","On board Russia's first nuclear ballistic submarine, Capt. Vostrikov must race against time to prevent a Chernobyl-like explosion."
1152,TV Show,Mortel,"Crime TV Shows, International TV Shows, TV Dramas","After making a deal with a supernatural figure, two high schoolers emerge with extraordinary powers and join forces to solve a murder."
1153,Movie,The Knight Before Christmas,"Children & Family Movies, Comedies, Romantic Movies","Medieval magic sends a 14th-century knight to modern-day Ohio, where he falls for a high school science teacher who's disillusioned by love."
1154,Movie,De Palma,Documentaries,"Iconoclastic film director Brian DePalma takes a look back at the production of such classic movies as ""Carrie,"" ""Scarface"" and ""The Untouchables."""
1155,TV Show,Oh My Ghost,"International TV Shows, Romantic TV Shows, TV Comedies","When a skilled but timid chef is possessed by a sassy spirit, her newfound confidence catches the eye of her longtime crush, a culinary hotshot."
1156,Movie,The Tribe,"Comedies, International Movies","An executive-turned-viral sensation loses his reputation and his memory, but finds a new life with his biological mother and her empowered dance group."
1157,Movie,Beat Bugs: All Together Now,"Children & Family Movies, Music & Musicals","After winning a local talent show, the Beat Bugs journey to compete on ""The Bug Factor,"" a televised singing contest held in faraway Rocket Ship Park."
1158,Movie,Brian Regan: Nunchucks and Flamethrowers,Stand-Up Comedy,"Brian Regan takes relatable family humor to new heights as he talks board games, underwear elastic and looking for hot dogs in all the wrong places."
1159,Movie,Saving Capitalism,Documentaries,Former Secretary of Labor Robert Reich meets with Americans from all walks of life as he chronicles a seismic shift in the nation's economy.
1160,Movie,The Case for Christ,"Dramas, Faith & Spirituality","Bothered by his wife's unyielding belief in Christianity, an investigative reporter sets out to use verifiable facts to poke holes in her faith."
1161,Movie,Carlos Ballarta: El amor es de putos,Stand-Up Comedy,"Carlos Ballarta mocks daily life in Mexico, including public transit, the education system and the corn seller who betrays your confidence."
1162,Movie,Adore,"Dramas, Independent Movies, International Movies","When lifelong friends Roz and Lil fall in love with each other's teenage sons, they must carry out their affairs in relative secrecy."
1163,TV Show,Bangkok Buddies,"International TV Shows, TV Comedies, TV Dramas","Living under the same roof, a group of unabashed friends wrestle with everyday issues from financial woes and shared quarters to romantic misfires."
1164,Movie,Be Somebody,"Comedies, Dramas, Romantic Movies","To escape the stress of fame, teen pop star Jordan goes incognito in a small town, where he forms a special bond with high school art student Emily."
